id,stageId,name,overview,priority,lat,lng,distanceFromBase,access,bikeUsefulness,publicityCaravan,caravanTime,raceTime,viewingQuality,crowding,amenities,roadClosureRisk,exitStrategy,luggage,notes,sources
stage-3-font-romeu-col-du-calvaire,trip-jul-06,Font-Romeu / Col du Calvaire,,Added option: climb + village amenities,42.5015,2.0426,~14-18 mi by road from Hotel Villa Paulita,Longer transfer from Puigcerda; only with early departure and closure confirmation.,Bike is possible for strong riders but makes it a bigger day; car access may be limited.,Yes - official route,Font-Romeu ≈15:05; Col du Calvaire ≈15:09,Riders roughly ≈16:20-16:51,"Very good: categorized Col du Calvaire late in stage, more race selection than Puigcerda.","High at KOM/obvious corners, manageable in town.",Better than remote pass: town amenities nearby; bring water anyway.,High: later mountain roads and French-side closures.,Delayed return likely; consider dinner/check-in timing.,Harder to use Hotel Villa Paulita as a rest base.,Added because it is on the official timetable and gives a late categorized climb without going all the way to Les Angles.,
stage-3-les-angles-pla-del-mir,trip-jul-06,Les Angles finish / Pla del Mir,,Most dramatic finish / least practical,42.577,2.0735,~20-25 mi by road from Hotel Villa Paulita,Drive very early only; expect finish-zone access controls.,Bike only for a committed long mountain day; not family-friendly logistics.,Yes - official route,≈15:50-15:51,Riders ≈16:54-17:23,Excellent finish drama and final 1.8 km at 6.5%.,"Very high at finish, plus limited mountain-town capacity.","Finish-town amenities, but queues and controlled zones likely; bring supplies.",Very high: finish road closures and post-stage traffic.,Expect a slow exit after the finish; avoid if needing an easy evening in Puigcerda.,Worst option for easy check-in/return to hotel.,Likely not preferred unless you prioritize the finish above all logistics.,
stage-6-arreau-d918-valley,trip-jul-09,Arreau / D918 valley fallback,,Low-stress fallback from lodging,42.9055,0.3606,~0.0 mi from Arreau town center / Airbnb area,Walk from Arreau base if your Airbnb is near town; otherwise short bike/walk.,Bike useful only for local positioning; not necessary to see the race.,Yes - official route at Arreau,≈13:34,Riders ≈15:11-15:27,"Good practical viewing, but before the Aspin/Tourmalet fireworks.",Moderate; town will be busy but less intense than the climbs.,"Best amenities: town cafés, bathrooms, water, ability to retreat; shade variable.",Low if staying in town; avoid moving cars on race route.,Walk back to Airbnb; easiest exit of the day.,Excellent; can stay based in Arreau.,"If mother/family comfort matters, this is the control option. Saint-Lary itself is not on the listed route; Campan/Sainte-Marie-de-Campan are on-route alternatives after Aspin.",
stage-6-col-d-aspin,trip-jul-09,Col d'Aspin area from Arreau,,Best balance for bikes + spectacle,42.9446,0.3272,~7-8 mi by road from Arreau town center to the summit area,Bike from Arreau before closure; walking not realistic unless staying nearby.,"Useful: a clear bike-to-climb plan from Arreau, less extreme than Tourmalet.",Yes - official route,≈13:56,Riders ≈15:37-15:58,"Excellent: Category 1 climb, first big mountain selection, close to lodging.",High on summit; lower slopes may be more manageable.,Sparse on climb; bring all food/water/layers; limited shade at open areas.,High for cars; manageable by bike if early and allowed before closure.,Descend/return to Arreau only when permitted; expect delays and crowded descent.,Good if already settled at Airbnb; no check-in issue.,Likely the best real mountain stage choice from Arreau without the full Tourmalet commitment.,
stage-6-tourmalet-la-mongie,trip-jul-09,Tourmalet summit / La Mongie side,,Bucket-list / very hard logistics,42.910297, 0.173267,~30 mi one-way by bike via Aspin/Campan/La Mongie; huge climbing day,Bike very early from Arreau via Aspin/Campan/La Mongie if fit and road rules allow; car not practical.,Useful but demanding: long ride with major climbing; plan lights/layers/food and a conservative turnaround.,Yes - official route,La Mongie ≈14:43; Tourmalet ≈14:52,Riders roughly ≈16:19-16:58,Elite: HC Tourmalet/Souvenir Jacques Goddet; iconic day.,"Very high, especially summit and La Mongie.","Sparse/overloaded: some La Mongie facilities, but queues; summit exposed; bring everything.",Very high: mountain roads may close early; descending after race can be chaotic.,Return by bike after roads open; expect slow crowded descent and possible darkness contingency.,Only if fully settled and prepared the night before.,"The itinerary asks whether this is possible. Answer: possible only as an all-day, very early, strong-rider plan; not a casual outing.",
stage-6-bareges-luz-saint-sauveur,trip-jul-09,Bareges / Luz-Saint-Sauveur side after Tourmalet descent,,Good race action / poor base logistics,42.8964,0.0648,~35-45+ mi by road/bike from Arreau via mountain passes; not a simple out-and-back,Not practical from Arreau unless repositioning very early by car/bike before closures.,Bike makes it an enormous day; car likely trapped by closures.,Yes - official route,Super Bareges ≈15:01; Bareges ≈15:13,Riders roughly ≈16:35-17:10,"Very good: post-Tourmalet descent/transition, but not the summit itself.",High in towns and obvious bends.,"Town amenities in Bareges/Luz, but access/queues likely; shade variable.",Very high because you are on the far side of Tourmalet from lodging.,Long delayed exit; returning to Arreau after the stage is awkward.,Poor fit for Arreau lodging.,Useful only if closure plans make Tourmalet impossible and you choose to relocate early.,
stage-6-gavarnie-gedre-finish,trip-jul-09,Gavarnie-Gedre finish,,Amazing scenery / avoid unless repositioned,42.7335,-0.0091,~50+ mi by road from Arreau depending route; not practical once closures begin,Drive/reposition extremely early; not practical as a same-day move from Arreau during closures.,Bike from Arreau is not realistic for most groups on race day.,Yes - official route,≈16:04 at finish,Riders ≈17:29-18:05,Excellent finish setting near Cirque de Gavarnie; final climb stakes.,Very high with limited valley capacity.,Finish-town amenities limited and overloaded; bring supplies/layers.,Extreme: finish-zone and valley-road closure risk.,Slowest exit; likely late return.,Poor fit unless staying closer to Gavarnie.,"Spectacular on paper, but likely not worth the friction from Arreau compared with Aspin/Tourmalet.",
stage-7-place-des-quinconces-finish,trip-jul-10,Finish / Place des Quinconces area,,Best race payoff / crowded,44.846,-0.573,~1.0 mi from Hotel Burdigala,Walk/tram from hotel if service runs; walking may be simplest due to closures.,"Bike unnecessary; mother joins, and final-crowd logistics make bikes a hassle.",Yes - official finish route,≈15:52 at Bordeaux finish,Riders ≈17:13-17:35,Best for sprint finish and podium atmosphere.,Very high; arrive early for barriers.,City-center amenities but huge queues; bring water; shade limited along open spaces.,High: finish and quays will have security/traffic controls.,Walk back west/north after crowd dispersal; avoid trying to cross route immediately.,Potentially can drop luggage/check in first if arrival from Pyrenees is early enough; otherwise hotel should hold bags.,Worth doing if the group still has energy after the long drive; make this the high-reward option.,https://www.bordeaux-tourism.co.uk/agenda/tour-de-france-bordeaux-2026
stage-7-pont-simone-veil,trip-jul-10,Pont Simone Veil / approach into Bordeaux,,Balanced approach option,44.8213,-0.5438,~3.0 mi from Hotel Burdigala,"Transit/walk/taxi as close as allowed, then walk; less convenient than center from Burdigala.","Bike unnecessary, especially with mother joining.",Yes - official route,≈15:44,Riders ≈17:07-17:29,"Very good: bridge crossing and final 4.5 km approach, likely lead-out tension.",High but probably less dense than the finish barriers.,Limited on the bridge; use nearby right/left-bank amenities before staking out; exposed sun/wind.,Medium-high: bridge access may be tightly controlled.,Exit by walking away from route toward tram/bus options after roads reopen.,Drop luggage first only if schedule allows; otherwise hotel bag hold.,Bordeaux Tourism highlights the new Simone-Veil bridge as part of the city approach.,https://www.bordeaux-tourism.co.uk/agenda/tour-de-france-bordeaux-2026
stage-7-riverside-quays-final-approach,trip-jul-10,Riverside final 3-5 km approach / quays,,Good compromise,44.835,-0.563,~1.5 mi from Hotel Burdigala,Walk/transit from Burdigala; choose exact block after local route map/closures publish.,Bike unnecessary; could be more trouble than walking.,Yes - if positioned on official final approach,≈15:45-15:52 depending exact spot,Riders ≈17:08-17:35 depending exact spot,"Very good: high-speed lead-out, Garonne backdrop, easier than finish line.",High but spread along quays; likely more choice than the final 500 m.,"Good urban amenities nearby, but queues; shade limited in open quay sections.",Medium-high: route-side closures but many walking escape routes.,Walk back through side streets once crowds thin; easier than finish-line crush.,Best if tired after drive but still want live race rather than TV.,Strong balanced choice if the finish area is too crowded or the group arrives late.,https://www.bordeaux-tourism.co.uk/agenda/tour-de-france-bordeaux-2026
stage-7-bar-fan-zone,trip-jul-10,Bar / fan-zone viewing if tired after drive,,Lowest stress / may miss live caravan,44.8437,-0.5748,~0.8 mi from Hotel Burdigala,Walk from hotel to a bar/fan-zone; prioritize comfort and bathrooms.,Bike unnecessary.,Depends: no if inside watching TV; yes only if the bar/fan-zone is directly on the route/quays.,"If on-route, likely ≈15:45-15:52; otherwise no live caravan.",TV/live ambience; race passes only if route-side.,Comfort-first; best if drive fatigue outweighs need for barriers.,"Variable; fan zones can be crowded, but indoor/bar option is easier.","Best amenities: bathrooms, food, water, shade/AC depending venue.",Low if not trying to cross the course; medium if route-adjacent.,Walk back to hotel whenever ready.,Best for luggage/check-in uncertainty after the long drive.,Useful fallback. Your itinerary already notes downtown wine/bar interest in Bordeaux.,https://www.bordeaux-tourism.co.uk/agenda/tour-de-france-bordeaux-2026
